Date,portfolio_value
2024-12-06,132001.8689462684
2024-12-09,132187.06903177075
2024-12-10,133137.43737269126
2024-12-11,133934.44837702022
2024-12-12,133886.63839619336
2024-12-13,133959.92621566274
2024-12-16,134419.0627697109
2024-12-17,134851.42709057714
2024-12-18,135059.24710089026
2024-12-19,134995.53681059874
2024-12-20,136338.70286192416
2024-12-23,136854.70227320155
2024-12-24,137583.39836159913
2024-12-26,137520.0954506003
2024-12-27,137473.3903362902
2024-12-30,137223.67537803756
2024-12-31,137216.7461485482
2025-01-02,137392.92624136875
2025-01-03,138027.76285613133
2025-01-06,138560.71811758215
2025-01-07,138507.44494432933
2025-01-08,138660.54255627227
2025-01-10,137358.90612866625
2025-01-13,138601.93443986526
2025-01-14,138992.35778291005
2025-01-15,140586.18447680416
2025-01-16,140795.13425148168
2025-01-17,141627.5463591841
2025-01-21,143194.24485816204
2025-01-22,142866.64645792657
2025-01-23,143633.39619226038
2025-01-24,143758.812924301
2025-01-27,144545.04946774617
2025-01-28,144858.84150303926
2025-01-29,144928.51496404049
2025-01-30,145785.54812731824
2025-01-31,145646.87741452342
2025-02-03,145193.76392223913
2025-02-04,145253.46860295517
2025-02-05,145648.17294539427
2025-02-06,146187.5062653327
2025-02-07,145897.23507459514
2025-02-10,145753.81441899424
2025-02-11,145915.75871884907
2025-02-12,146418.04868568334
2025-02-13,146757.57381958576
2025-02-14,147145.44398786314
2025-02-18,147349.3058823007
2025-02-19,147322.32596836227
2025-02-20,147409.03769230668
2025-02-21,147283.85472521436
2025-02-24,147058.80971980395
2025-02-25,147462.50977785245
2025-02-26,147301.93531242627
2025-02-27,147385.43446644454
2025-02-28,147906.27119495056
2025-03-03,147384.96700795268
2025-03-04,146504.62902417226
2025-03-05,146833.85517614114
2025-03-06,146848.78266650598
2025-03-07,147492.73880308663
2025-03-10,146499.5722235903
2025-03-11,146672.563577966
2025-03-12,146981.97360710427
2025-03-13,146395.68163398653
2025-03-14,148514.1255645889
2025-03-17,149206.80977724155
2025-03-18,149284.90012336246
2025-03-19,150962.719374681
2025-03-20,151164.70861977417
2025-03-21,152031.68644495748
2025-03-24,153549.87335797842
2025-03-25,153883.10323492656
2025-03-26,153690.36614580778
2025-03-27,153859.09607661376
2025-03-28,153175.0914809527
2025-03-31,153383.81506251506
2025-04-01,153397.3412271248
2025-04-02,153681.67126240558
2025-04-03,151708.055139396
2025-04-04,149317.08364142943
2025-04-07,149532.15791771686
2025-04-08,148051.740293575
2025-04-09,159967.32711436745
2025-04-10,154555.55424683844
2025-04-11,157134.07265427255
2025-04-14,158359.5143168096
2025-04-15,158100.25820099434
2025-04-16,156438.9594168054
2025-04-17,157742.6098528568
2025-04-21,155275.84323097116
2025-04-22,158850.86629754936
2025-04-23,161103.8542894601
2025-04-24,163832.99373349576
2025-04-25,164223.91030074676
2025-04-28,164492.86612860553
2025-04-29,165146.75293799222
2025-04-30,165445.91888694395
2025-05-01,167003.00920990598
2025-05-02,168430.41887976334
2025-05-05,167881.36190919016
2025-05-06,167309.42982085544
2025-05-07,166660.60401185203
2025-05-08,168438.89350362075
2025-05-09,169019.1845797906
2025-05-12,173192.27380813262
2025-05-13,174212.1547396633
2025-05-14,174291.26248846488
2025-05-15,173390.05612328838
2025-05-16,174375.00752971304
2025-05-19,175261.5839644369
2025-05-20,175406.03195030888
2025-05-21,175317.09722451304
2025-05-22,175620.350426183
2025-05-23,175516.22550952932
2025-05-27,176501.1777899533
2025-05-28,176473.72494591208
2025-05-29,176864.0570995661
2025-05-30,177143.29513317626
2025-06-02,177623.7205823853
2025-06-03,177635.38486096964
2025-06-04,177236.24633873312
2025-06-05,177004.5882490147
2025-06-06,178358.68036582007
2025-06-09,178983.96436169092
2025-06-10,179582.38521568332
2025-06-11,180196.4021981302
2025-06-12,180354.10368725876
2025-06-13,180145.93518647057
2025-06-16,181083.50250669025
2025-06-17,180773.4990149282
2025-06-18,180949.44109454745
2025-06-20,180923.57820610527
2025-06-23,181305.18979569495
2025-06-24,182228.74003315484
2025-06-25,182320.81155074417
2025-06-26,183369.34886827326
2025-06-27,184920.58951488583
2025-06-30,184585.06615215586
2025-07-01,185276.90726425813
2025-07-02,186320.4283229752
2025-07-03,186951.01733074867
2025-07-07,186565.31940625457
2025-07-08,187134.51622471496
2025-07-09,187921.71750892248
2025-07-10,187922.17632776796
2025-07-11,188119.9801369948
2025-07-14,188527.09001168708
2025-07-15,188434.30192683375
2025-07-16,188590.64259558413
2025-07-17,188570.66622262145
2025-07-18,188586.24919770274
2025-07-21,188690.9277878711
2025-07-22,189318.44925840816
2025-07-23,190213.2649355256
2025-07-24,190599.24192866444
2025-07-25,190576.9115607632
2025-07-28,190677.2779395823
2025-07-29,190035.8387100685
2025-07-30,190020.3365732137
2025-07-31,189253.26306384022
2025-08-01,188215.04132308596
2025-08-04,188363.77711144573
2025-08-05,189367.22639573817
2025-08-06,189729.89593463173
2025-08-07,190078.71710635512
2025-08-08,191530.27944813762
2025-08-11,191236.59288029766
2025-08-12,192776.28202511556
2025-08-13,193415.11509754078
2025-08-14,193690.3543206036
2025-08-15,195099.90203129879
2025-08-18,195338.89528087812
2025-08-19,195417.33305289128
2025-08-20,195537.45576720277
2025-08-21,195604.91116674914
2025-08-22,197877.14711095733
2025-08-25,197678.2671626094
2025-08-26,198158.21688170783
2025-08-27,198657.94954613844
2025-08-28,199087.02433728075
2025-08-29,199079.1678647484
2025-09-02,198640.3197839918
2025-09-03,199834.18417353008
2025-09-04,200416.55133940367
2025-09-05,200604.64124311716
2025-09-08,200758.2643855469
2025-09-09,201898.11330193636
2025-09-10,202091.424694381
2025-09-11,202988.1626093244
2025-09-12,203307.334653638
2025-09-15,204136.03680114687
2025-09-16,204270.9533956601
2025-09-17,204502.4567196066
2025-09-18,204246.43192782922
2025-09-19,204736.3781425849
2025-09-22,205200.59646137
2025-09-23,205435.23257995196
2025-09-24,205325.81942628382
2025-09-25,205152.4349396823
2025-09-26,205287.1842624725
2025-09-29,205463.60302838386
2025-09-30,206324.96937280806
2025-10-01,207202.23351453446
2025-10-02,207467.49419934678
2025-10-03,207952.9722773256
2025-10-06,207544.2176731279
2025-10-07,207555.65733265804
2025-10-08,208164.49573402575
2025-10-09,207374.09077157418
2025-10-10,206722.87048258443
2025-10-13,207812.69306523487
2025-10-14,208915.25140899955
2025-10-15,209726.61437464243
2025-10-16,208852.62600923554
2025-10-17,209384.11753829086
2025-10-20,210673.78044640896
2025-10-21,210525.9851743725
2025-10-22,210186.15431145462
2025-10-23,210987.77918778989
2025-10-24,212405.78612059227
2025-10-27,213472.1671989736
2025-10-28,213540.90594171738
2025-10-29,214508.38984212774
2025-10-30,213988.39115093084
